date,value
2005-04-29,13.99
2005-05-31,12.58
2005-06-30,12.76
2005-07-29,12.94
2005-08-31,12.88
2005-09-30,12.63
2005-10-31,11.78
2005-11-30,11.85
2005-12-30,12.61
2006-01-25,13.56
2006-02-28,14.08
2006-03-31,14.03
2006-04-28,15.8
2006-05-31,17.7
2006-06-30,17.79
2006-07-31,18.52
2006-08-31,18.61
2006-09-29,19.39
2006-10-31,18.3
2006-11-30,23.21
2006-12-29,30.66
2007-01-31,34.95
2007-02-28,35.15
2007-03-30,36.37
2007-04-30,34.88
2007-05-31,39.27
2007-06-29,37.29
2007-07-31,43.81
2007-08-31,42.64
2007-09-28,45.73
2007-10-31,47.84
2007-11-30,40.32
2007-12-28,43.17
2008-01-31,35.92
2008-02-29,35.24
2008-03-31,26.89
2008-04-30,27.41
2008-05-30,25.3
2008-06-30,20.19
2008-07-31,20.38
2008-08-29,16.98
2008-09-26,16.15
2008-10-31,12.07
2008-11-28,12.96
2008-12-31,12.42
2009-01-23,13.65
2009-02-27,14.26
2009-03-31,17.09
2009-04-30,19.13
2009-05-27,20.33
2009-06-30,23.42
2009-07-31,26.96
2009-08-31,19.88
2009-09-30,20.96
2009-10-30,22.01
2009-11-30,23.21
2009-12-31,23.99
2010-01-29,21.6
2010-02-26,21.76
2010-03-31,21.38
2010-04-30,17.14
2010-05-31,15.56
2010-06-30,14.51
2010-07-30,15.89
2010-08-31,14.7
2010-09-30,14.7
2010-10-29,16.02
2010-11-30,14.82
2010-12-31,14.99
2011-01-31,15.03
2011-02-28,15.45
2011-03-31,15.02
2011-04-29,14.16
2011-05-31,13.35
2011-06-30,13.43
2011-07-29,13.18
2011-08-31,11.99
2011-09-30,11.13
2011-10-31,11.22
2011-11-30,10.64
2011-12-30,10.26
2012-01-31,10.82
2012-02-29,11.35
2012-03-30,10.73
2012-04-27,11.23
2012-05-31,10.84
2012-06-29,10.2
2012-07-31,9.91
2012-08-31,9.47
2012-09-28,9.68
2012-10-31,9.46
2012-11-30,9.17
2012-12-31,10.49
2013-01-31,11.1
2013-02-28,10.91
2013-03-29,10.1
2013-04-26,9.75
2013-05-31,10.05
2013-06-28,8.68
2013-07-31,8.76
2013-08-30,8.76
2013-09-30,9.02
2013-10-31,8.64
2013-11-29,8.89
2013-12-31,8.62
2014-01-30,8.2
2014-02-28,8.19
2014-03-31,8.11
2014-04-30,7.96
2014-05-30,8.02
2014-06-30,8.15
2014-07-31,8.72
2014-08-29,8.45
2014-09-30,8.74
2014-10-31,8.79
2014-11-28,9.83
2014-12-31,12.74
2015-01-30,12.46
2015-02-27,12.81
2015-03-31,14.46
2015-04-30,16.58
2015-05-29,16.34
2015-06-30,16.11
2015-07-31,13.82
2015-08-31,11.69
2015-09-30,11.22
2015-10-30,12.44
2015-11-30,12.41
2015-12-31,13.01
2016-01-29,10.47
2016-02-29,10.26
2016-03-31,11.44
2016-04-29,11.32
2016-05-31,11.36
2016-06-30,11.37
2016-07-29,11.7
2016-08-31,12.36
2016-09-30,12.05
2016-10-31,12.08
2016-11-30,12.75
2016-12-30,12.31
2017-01-26,12.78
2017-02-28,12.97
2017-03-31,12.85
2017-04-28,12.69
2017-05-31,12.85
2017-06-30,13.39
2017-07-31,13.78
2017-08-31,13.88
2017-09-29,13.83
2017-10-31,13.84
2017-11-30,13.81
2017-12-29,14.05
2018-01-31,15.19
2018-02-28,14.12
2018-03-30,13.37
2018-04-27,12.74
2018-05-31,12.55
2018-06-29,11.81
2018-07-31,11.93
2018-08-31,11.09
2018-09-28,11.58
2018-10-31,10.6
2018-11-30,10.44
2018-12-28,10.09
2019-01-31,10.74
2019-02-28,12.06
2019-03-29,12.5
2019-04-30,12.27
2019-05-31,11.48
2019-06-28,12.22
2019-07-31,12.14
2019-08-30,11.7
2019-09-30,11.72
2019-10-31,11.67
2019-11-29,11.46
2019-12-31,12.3
2020-01-23,11.96
2020-02-28,11.57
2020-03-31,10.85
2020-04-30,11.77
2020-05-29,11.6
2020-06-30,12.38
2020-07-31,13.67
2020-08-31,14.45
2020-09-30,13.87
2020-10-30,13.92
2020-11-30,14.71
2020-12-31,15.66
2021-01-29,15.95
2021-02-26,15.87
2021-03-31,14.61
2021-04-30,13.52
2021-05-31,14.09
2021-06-30,14.32
2021-07-30,13.12
2021-08-31,12.41
2021-09-30,12.61
2021-10-29,12.67
2021-11-30,12.25
2021-12-31,13.37
2022-01-28,12.44
2022-02-28,12.57
2022-03-31,11.72
2022-04-29,11.21
2022-05-31,11.32
2022-06-30,12.31
2022-07-29,11.44
2022-08-31,11.02
2022-09-30,10.47
2022-10-31,9.61
2022-11-30,10.57
2022-12-30,10.59
2023-01-31,11.26
2023-02-28,11.17
2023-03-31,11.27
2023-04-28,11.47
2023-05-31,10.93
2023-06-30,10.97
2023-07-31,11.36
2023-08-31,10.99
2023-09-28,10.87
2023-10-31,10.64
2023-11-30,10.48
2023-12-29,10.38
2024-01-31,10.16
2024-02-29,10.91
2024-03-29,11.21
2024-04-30,11.63
2024-05-31,11.57
2024-06-28,11.48
2024-07-31,11.32
2024-08-30,10.86
2024-09-30,12.65
2024-10-31,11.65
2024-11-29,11.75
2024-12-31,12.19
2025-01-27,11.74
2025-02-28,11.82
2025-03-31,11.78
2025-04-30,11.49
2025-05-30,11.73
2025-06-30,12.34
2025-07-31,12.44
2025-08-29,13.23
2025-09-30,13.32
2025-10-31,13.19
2025-11-28,13.04
2025-12-31,13.34
2026-01-30,13.37
2026-02-27,13.33
2026-03-31,13.3
2026-04-30,13.85
2026-05-29,13.8
2026-06-30,13.77
2026-07-31,13.68
2026-08-31,13.04
2026-09-04,12.91
